,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-13,,,0.0,0.0,4846.138585998192,4769.084112264289,0.026295871521685697
1,1,517,2020-10-22,2020-11-05,2020-11-09,14.0,15.077585999999998,760.0590025111072,2933.436210519573,4732.516261439347,,
2,2,1034,2020-11-12,2020-11-26,2020-11-27,35.0,16.440517,1519.4105610187116,5815.520652037959,4686.686232460356,4616.016821943626,0.026846058556190204
3,3,1551,2020-12-03,2020-12-17,2020-12-18,56.0,16.318222,2277.0331019574805,8690.868077013758,4645.01601716526,,
4,4,2068,2020-12-29,2021-01-12,2021-01-14,82.0,16.214326999999997,3036.1176582488174,11574.833937768279,4602.590810082995,4528.629544903706,0.026966541589727847
5,5,2585,2021-01-18,2021-02-01,2021-02-02,102.0,16.391956,3795.1909578277327,14454.627795173157,4575.846111156351,,
6,6,3102,2021-02-05,2021-02-22,2021-02-25,123.0,16.34224,4558.387102574727,17398.22375378049,4514.977659850613,4438.263946804471,0.02704120545074566
7,7,3619,2021-03-04,2021-03-18,2021-03-21,147.0,15.892935000000001,5320.649282386481,20334.80751546707,4482.643358757166,,
8,8,4136,2021-03-25,2021-04-08,2021-04-08,168.0,16.407331,6080.003651604673,23242.696008724633,4453.119868079051,4375.05074522801,0.027220839746968362
9,9,4653,2021-04-15,2021-04-29,2021-04-30,189.0,16.61976,6839.450686701964,26156.901603081467,4439.559188682886,,
10,10,5170,2021-05-04,2021-05-18,2021-05-22,208.0,16.81144,7598.804654127394,29064.845369058232,4421.75114114059,4338.870678204599,0.027208890566058994
11,11,5687,2021-05-27,2021-06-18,2021-06-18,239.0,16.07222,8361.712921114335,32002.649342620134,4414.557020013442,,
12,12,6204,2021-06-23,2021-07-07,2021-07-22,258.0,15.14964,9120.94997816447,34900.288128123364,4413.689860210143,4326.251691025529,0.0272769425165851
