,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-13,,,0.0,0.0,4841.599363097354,4808.692310612907,0.026131450715563925
1,1,517,2020-10-22,2020-11-05,2020-11-09,14.0,15.847574,754.4924826500351,2981.700436381493,4733.823961596572,,
2,2,1034,2020-11-12,2020-11-26,2020-11-27,35.0,16.821918,1509.325850361024,5960.379565398528,4674.1207592717155,4654.947919888918,0.026099594903319957
3,3,1551,2020-12-03,2020-12-17,2020-12-18,56.0,16.871239000000003,2262.3908707963074,8927.980275534326,4627.535050385265,,
4,4,2068,2020-12-29,2021-01-12,2021-01-14,82.0,16.590666,3016.7595148293003,11897.684784607503,4580.668359971774,4555.580448178841,0.026325579283465083
5,5,2585,2021-01-18,2021-02-01,2021-02-02,102.0,16.952309,3771.164301601097,14862.66648758248,4536.628571620283,,
6,6,3102,2021-02-05,2021-02-22,2021-02-25,123.0,16.684639,4528.655772363985,17835.629669976515,4495.470741079642,4460.041355056159,0.026359587139614053
7,7,3619,2021-03-04,2021-03-18,2021-03-21,147.0,16.170916000000002,5284.258130632201,20805.15573036309,4461.6464321628555,,
8,8,4136,2021-03-25,2021-04-08,2021-04-08,168.0,16.766827,6037.9974922127285,23759.241027234828,4409.858452655557,4362.056962323131,0.02687261505698541
9,9,4653,2021-04-15,2021-04-29,2021-04-30,189.0,16.462751,6791.689737469819,26709.94305911448,4385.534740297691,,
10,10,5170,2021-05-04,2021-05-18,2021-05-22,208.0,16.975018,7545.3740522697735,29657.471132371677,4358.32769779398,4302.763566578778,0.026943422908570776
11,11,5687,2021-05-27,2021-06-18,2021-06-18,239.0,16.234884,8300.578236242247,32613.118626355987,4336.4750780953855,,
12,12,6204,2021-06-23,2021-07-07,2021-07-22,258.0,15.753460999999998,9054.216560399384,35559.98193096049,4337.642644932543,4274.14061495686,0.026882181708377795
