,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-13,,,0.0,0.0,4832.319523917539,4775.838255797391,0.027124773156458167
1,1,517,2020-10-22,2020-11-05,2020-11-09,14.0,27.953356,760.0709184540477,3023.031738644349,4727.845169157552,,
2,2,1034,2020-11-12,2020-11-28,2020-11-30,37.0,28.381203000000003,1520.0061359434724,6047.06779528191,4682.618432481465,4633.629297644312,0.027308972628226208
3,3,1551,2020-12-04,2020-12-19,2020-12-22,58.0,28.03872,2278.256468473995,9062.211909071102,4641.046206388134,,
4,4,2068,2020-12-29,2021-01-13,2021-01-14,83.0,28.223719,3037.9212239365947,12082.422512485486,4607.982273193807,4558.955559285763,0.02770763572139559
5,5,2585,2021-01-18,2021-02-02,2021-02-02,103.0,29.630758,3797.5301801410287,15104.58738027394,4578.65368940773,,
6,6,3102,2021-02-05,2021-02-27,2021-03-01,128.0,28.750284000000004,4561.176008600813,18128.046462487946,4547.905944512435,4499.43430989651,0.02779568727555454
7,7,3619,2021-03-05,2021-03-20,2021-03-21,149.0,26.644363000000002,5322.379951765235,21151.183851854847,4529.879087947729,,
8,8,4136,2021-03-25,2021-04-08,2021-04-08,168.0,28.198778000000004,6081.831291546897,24170.68666948442,4495.927136395127,4452.464718358437,0.02798817848470938
9,9,4653,2021-04-15,2021-04-29,2021-04-30,189.0,28.564103999999997,6841.336491748796,27187.80848810909,4485.66149153587,,
10,10,5170,2021-05-04,2021-05-18,2021-05-22,208.0,28.804949,7600.819848897914,30204.901473913935,4471.4203444665745,4422.170520299619,0.028203917132773454
11,11,5687,2021-05-27,2021-06-18,2021-06-18,239.0,28.602806,8361.303236612437,33220.2839975411,4446.097557731145,,
12,12,6204,2021-06-23,2021-07-07,2021-07-22,258.0,27.981509999999997,9120.627144128828,36234.79499350492,4436.524859616585,4387.562133677434,0.028616149280017836
