,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-13,,,0.0,0.0,4823.331466949698,4751.957148964171,0.029882557906514548
1,1,517,2020-10-22,2020-11-05,2020-11-09,14.0,27.395475,760.6125499664339,2950.45649880763,4718.293414871289,,
2,2,1034,2020-11-12,2020-11-26,2020-11-27,35.0,27.695164000000002,1519.9634840853346,5829.646192608437,4679.980479464128,4610.3967510938755,0.030561195907463628
3,3,1551,2020-12-03,2020-12-17,2020-12-18,56.0,28.469637,2277.541882966295,8696.659897359426,4644.635488598598,,
4,4,2068,2020-12-29,2021-01-12,2021-01-14,82.0,28.057093,3036.5455945021276,11569.455551393963,4609.961928590166,4545.240600258499,0.030566844266707176
5,5,2585,2021-01-18,2021-02-01,2021-02-02,102.0,28.58405,3795.6647229511696,14450.670442738416,4586.40580301339,,
6,6,3102,2021-02-05,2021-02-22,2021-02-25,123.0,28.22014,4557.583646746578,17398.691027100354,4545.686757572069,4473.248778532312,0.031002881944141608
7,7,3619,2021-03-04,2021-03-18,2021-03-21,147.0,28.428340000000002,5320.309082785055,20358.73955167786,4505.097731281088,,
8,8,4136,2021-03-25,2021-04-08,2021-04-08,168.0,28.162725,6080.148112459914,23309.46723904036,4462.044442198849,4379.526196014291,0.03165346690866984
9,9,4653,2021-04-15,2021-04-29,2021-04-30,189.0,27.859303000000004,6839.9826275242085,26251.938858509086,4437.3796887124045,,
10,10,5170,2021-05-04,2021-05-18,2021-05-22,208.0,28.42401,7599.813811695238,29200.153678667895,4411.000683143642,4331.654533895259,0.0317630144653687
11,11,5687,2021-05-27,2021-06-18,2021-06-18,239.0,28.011536,8361.33446288761,32166.354044753672,4391.684940382422,,
12,12,6204,2021-06-23,2021-07-07,2021-07-22,258.0,27.983675,9121.041852931516,35102.796319779496,4389.342175790265,4306.642534588219,0.03231517425593557
