,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-13,,,0.0,0.0,4847.4706986263145,4772.394489819739,0.026006288520824598
1,1,517,2020-10-22,2020-11-05,2020-11-09,14.0,39.302746,760.6000834948212,2966.330961234787,4712.816307693974,,
2,2,1034,2020-11-12,2020-11-28,2020-11-30,37.0,39.016045,1522.7091995281894,5908.000841513338,4652.617808636971,4589.3422557816575,0.026303058766920545
3,3,1551,2020-12-04,2020-12-18,2020-12-18,57.0,40.527245,2280.5501877869797,8812.404499718528,4608.208325675323,,
4,4,2068,2020-12-29,2021-01-12,2021-01-14,82.0,40.540240000000004,3039.874564610559,11726.382723385577,4564.278657563244,4502.343527289515,0.026771026944609408
5,5,2585,2021-01-18,2021-02-01,2021-02-02,102.0,40.381423999999996,3799.1425807909145,14631.209936286377,4533.008860340716,,
6,6,3102,2021-02-05,2021-02-22,2021-02-25,123.0,40.902885,4563.496385195201,17601.233961297996,4490.231741197574,4426.626696368136,0.02706082013462704
7,7,3619,2021-03-04,2021-03-18,2021-03-21,147.0,40.842354,5326.327203074612,20531.481043444488,4466.412726676464,,
8,8,4136,2021-03-25,2021-04-08,2021-04-08,168.0,40.904068,6085.45687323556,23425.927497829445,4442.914774607194,4380.368774482815,0.027313946330126893
9,9,4653,2021-04-15,2021-04-29,2021-04-30,189.0,41.121559999999995,6844.547143538671,26313.452463870148,4419.571098719151,,
10,10,5170,2021-05-04,2021-05-18,2021-05-22,208.0,40.33655,7603.7812202122495,29222.404872923238,4398.58336252182,4339.018568491204,0.0275347543846628
11,11,5687,2021-05-27,2021-06-18,2021-06-18,239.0,40.320732,8367.231042529043,32165.2763320358,4378.141125929759,,
12,12,6204,2021-06-23,2021-07-07,2021-07-22,258.0,39.985,9127.2235891137,35139.18710766912,4336.9460116718765,4279.986612238629,0.02770884501457658
