,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-13,,,0.0,0.0,4827.627022081184,4760.459025832237,0.025683333585970605
1,1,517,2020-10-22,2020-11-05,2020-11-09,14.0,39.66455,760.9778869652968,3006.663110582432,4696.7190490418425,,
2,2,1034,2020-11-12,2020-11-26,2020-11-27,35.0,40.46828,1521.45287136174,5995.434849179281,4626.044277824059,4564.419579543606,0.026123329334874507
3,3,1551,2020-12-03,2020-12-17,2020-12-18,56.0,40.636390000000006,2280.1795743911616,8974.253872738827,4574.3522827977395,,
4,4,2068,2020-12-29,2021-01-12,2021-01-14,82.0,40.476867999999996,3040.373174085481,11961.309862731197,4529.171210980413,4465.743267932406,0.026823643362293752
5,5,2585,2021-01-18,2021-02-01,2021-02-02,102.0,40.568443,3800.5459050371956,14944.66167348585,4489.0468439800925,,
6,6,3102,2021-02-05,2021-02-22,2021-02-25,123.0,41.110096,4564.236799013054,17942.0127715729,4451.703618447169,4385.069749535873,0.027222705014012263
7,7,3619,2021-03-04,2021-03-18,2021-03-21,147.0,41.38813,5326.258100951034,20926.81872241423,4427.288669079348,,
8,8,4136,2021-03-25,2021-04-08,2021-04-08,168.0,41.0643,6086.3535755637495,23909.0037801724,4382.588807867206,4312.529629011089,0.02749347217761971
9,9,4653,2021-04-15,2021-04-29,2021-04-30,189.0,41.571003000000005,6846.2721697550905,26875.68604504995,4365.59603246958,,
10,10,5170,2021-05-04,2021-05-18,2021-05-22,208.0,40.759785,7606.1849530190075,29845.074118122662,4342.614014991067,4266.305401230459,0.027700580652972272
11,11,5687,2021-05-27,2021-06-18,2021-06-18,239.0,41.03797,8368.530445398526,32827.71570165338,4311.441760251099,,
12,12,6204,2021-06-23,2021-07-07,2021-07-22,258.0,40.851836999999996,9128.774657269014,35852.54423423395,4304.51031644847,4235.64229263334,0.027796720280545795
